Pickup Location,Dropoff Location,Cab Type,Distance (km),Fare (INR),Payment Method,Date,Time
Whitefield,Jayanagar,UberBlack,32.14,435.68,Wallet,2024-03-20,16:00:12
Electronic City,Hebbal,UberGo,36.77,491.24,Card,2024-07-14,16:11:33
Hebbal,Indiranagar,UberGo,28.23,388.76,UPI,2024-05-06,04:28:49
Indiranagar,Electronic City,UberXL,30.39,414.68,Cash,2024-10-19,02:55:21
Marathahalli,Hebbal,UberSUV,33.36,450.32,Card,2024-04-10,20:08:19
Electronic City,Whitefield,UberBlack,26.05,362.6,Wallet,2024-12-21,15:58:02
Jayanagar,Hebbal,UberBlack,4.24,100.88,Wallet,2024-10-19,18:13:51
Hebbal,Marathahalli,UberX,27.09,375.08,Card,2024-04-03,23:50:46
Marathahalli,Hebbal,UberXL,32.86,444.32,Cash,2024-04-02,03:21:56
Koramangala,Whitefield,UberX,9.84,168.08,Card,2024-02-18,12:40:27
Marathahalli,Koramangala,UberX,42.33,557.96,UPI,2024-02-02,05:39:23
MG Road,Hebbal,UberSUV,5.64,117.68,Wallet,2024-08-13,07:39:08
Electronic City,Hebbal,UberXL,12.51,200.12,UPI,2024-03-20,18:33:39
MG Road,Koramangala,UberX,16.9,252.8,Wallet,2024-12-05,12:14:15
Whitefield,Electronic City,UberBlack,47.69,622.28,Cash,2024-09-24,15:46:41
Whitefield,Koramangala,UberGo,16.1,243.2,Wallet,2024-10-14,23:53:50
Indiranagar,Marathahalli,UberSUV,15.71,238.52,Card,2024-10-16,16:50:45
Electronic City,Jayanagar,UberGo,28.3,389.6,Wallet,2024-12-13,04:46:48
Jayanagar,Marathahalli,UberBlack,39.05,518.6,Wallet,2024-12-19,17:37:29
Electronic City,Marathahalli,UberXL,47.64,621.68,Cash,2024-10-14,22:43:59
Koramangala,Jayanagar,UberX,14.61,225.32,Wallet,2024-11-08,16:46:14
Whitefield,MG Road,UberBlack,33,446,UPI,2024-06-25,20:08:09
Electronic City,MG Road,UberBlack,26.03,362.36,Card,2024-06-13,21:49:26
Whitefield,Jayanagar,UberX,43.58,572.96,Wallet,2024-03-06,17:14:54
Marathahalli,Whitefield,UberXL,13.22,208.64,Wallet,2024-04-19,03:53:30
Hebbal,Indiranagar,UberX,25.82,359.84,Card,2024-10-17,20:10:43
Marathahalli,Koramangala,UberXL,17.26,257.12,Wallet,2024-03-29,15:15:52
Indiranagar,Koramangala,UberGo,31.87,432.44,Wallet,2024-12-22,19:43:11
Koramangala,Marathahalli,UberBlack,18.28,269.36,Cash,2024-02-13,16:42:24
Koramangala,Whitefield,UberX,29.38,402.56,UPI,2024-03-12,15:47:23
Hebbal,Koramangala,UberX,42.62,561.44,Wallet,2024-07-20,10:32:02
Electronic City,Marathahalli,UberSUV,39.63,525.56,Cash,2024-09-20,08:31:45
Indiranagar,Koramangala,UberXL,14.49,223.88,Card,2024-03-17,05:50:08
Jayanagar,Electronic City,UberGo,26.88,372.56,Wallet,2024-09-14,17:09:34
Hebbal,Jayanagar,UberGo,35.03,470.36,Cash,2024-10-26,09:21:31
Indiranagar,MG Road,UberGo,33.41,450.92,UPI,2024-12-19,11:42:33
Marathahalli,MG Road,UberXL,26.44,367.28,Cash,2024-10-05,18:50:27
Indiranagar,Koramangala,UberXL,6.91,132.92,UPI,2024-06-27,01:14:21
Whitefield,Marathahalli,UberBlack,30.81,419.72,UPI,2024-02-03,16:44:58
Jayanagar,Hebbal,UberSUV,43.76,575.12,Cash,2024-02-21,20:49:47
Marathahalli,Electronic City,UberXL,7.3,137.6,Wallet,2024-11-25,09:46:04
Electronic City,Marathahalli,UberBlack,48.75,635,Cash,2024-10-31,20:38:47
Hebbal,Marathahalli,UberX,24.1,339.2,UPI,2024-02-02,13:10:09
Marathahalli,MG Road,UberGo,48.86,636.32,Card,2024-12-06,11:33:57
Whitefield,Hebbal,UberXL,21.08,302.96,Card,2024-12-12,06:23:16
Indiranagar,Hebbal,UberBlack,28.49,391.88,Card,2024-04-20,02:51:22
Koramangala,Electronic City,UberGo,37.28,497.36,UPI,2024-08-08,19:49:06
Indiranagar,Koramangala,UberBlack,27.92,385.04,UPI,2024-08-21,07:03:48
Indiranagar,Hebbal,UberBlack,29.65,405.8,Wallet,2024-06-24,01:27:07
Indiranagar,Whitefield,UberBlack,30.85,420.2,Wallet,2024-04-07,21:15:54
Koramangala,Jayanagar,UberXL,4.09,99.08,UPI,2024-07-08,09:06:48
Indiranagar,Electronic City,UberBlack,22.18,316.16,Wallet,2024-04-04,19:11:46
Indiranagar,Whitefield,UberBlack,46.56,608.72,Wallet,2024-01-30,23:24:54
MG Road,Hebbal,UberXL,23.89,336.68,UPI,2024-11-22,21:02:08
Whitefield,Koramangala,UberBlack,10.64,177.68,Card,2024-04-10,15:21:11
Jayanagar,Marathahalli,UberGo,11.6,189.2,Card,2024-12-26,15:27:07
Hebbal,Indiranagar,UberSUV,25.44,355.28,Cash,2024-03-10,20:53:07
Whitefield,Indiranagar,UberGo,19.88,288.56,Card,2024-01-13,12:09:47
MG Road,Hebbal,UberBlack,16.91,252.92,UPI,2024-05-21,11:26:44
Electronic City,MG Road,UberSUV,18.35,270.2,Card,2024-09-25,03:44:10
Marathahalli,Jayanagar,UberGo,7.98,145.76,UPI,2024-09-10,18:06:04
Indiranagar,Electronic City,UberXL,44.56,584.72,Card,2024-08-21,03:37:47
Indiranagar,Jayanagar,UberSUV,27.65,381.8,Cash,2024-04-28,22:33:18
Hebbal,Indiranagar,UberBlack,37.02,494.24,Wallet,2024-02-11,04:24:10
Indiranagar,Jayanagar,UberBlack,37.2,496.4,UPI,2024-02-18,12:26:12
Koramangala,Marathahalli,UberSUV,36.62,489.44,Wallet,2024-03-27,10:06:00
Jayanagar,Whitefield,UberXL,19.91,288.92,Cash,2024-09-08,01:36:02
Jayanagar,MG Road,UberGo,18.99,277.88,UPI,2024-02-23,13:35:00
Koramangala,Hebbal,UberSUV,27.15,375.8,UPI,2024-11-11,02:21:21
Indiranagar,Jayanagar,UberBlack,14.33,221.96,Card,2024-02-12,01:05:54
Hebbal,Koramangala,UberGo,27.01,374.12,Wallet,2024-09-06,01:48:02
Electronic City,Hebbal,UberX,43.06,566.72,Cash,2024-10-18,22:48:32
Marathahalli,Koramangala,UberX,36.93,493.16,Cash,2024-08-02,05:48:23
MG Road,Indiranagar,UberGo,11.14,183.68,Wallet,2024-02-05,07:03:04
Koramangala,Whitefield,UberXL,21.47,307.64,Cash,2024-02-25,15:28:15
Electronic City,Indiranagar,UberBlack,43.85,576.2,Wallet,2024-07-09,22:44:46
Electronic City,MG Road,UberXL,6.54,128.48,Card,2024-09-18,15:50:33
Marathahalli,Koramangala,UberX,34.99,469.88,Cash,2024-08-09,12:34:22
Whitefield,Koramangala,UberX,23.72,334.64,Cash,2024-09-10,12:10:14
Whitefield,Hebbal,UberGo,16.51,248.12,Wallet,2024-02-15,00:39:23
Indiranagar,Whitefield,UberGo,36.11,483.32,Wallet,2024-08-05,13:55:43
Indiranagar,Marathahalli,UberXL,14,218,Cash,2024-05-24,17:16:48
Jayanagar,Koramangala,UberXL,25.41,354.92,Cash,2024-01-03,06:11:29
Marathahalli,Koramangala,UberXL,14.43,223.16,Card,2024-10-28,10:50:09
Indiranagar,Hebbal,UberBlack,44.8,587.6,UPI,2024-05-15,06:29:51
Electronic City,Whitefield,UberX,25.79,359.48,Card,2024-04-03,16:58:06
Jayanagar,Koramangala,UberXL,18.84,276.08,Wallet,2024-05-04,08:25:14
Hebbal,Jayanagar,UberGo,2.73,82.76,Wallet,2024-08-12,21:23:00
Whitefield,MG Road,UberGo,40.4,534.8,UPI,2024-05-17,06:48:31
Electronic City,MG Road,UberSUV,44.62,585.44,Cash,2024-12-10,21:22:36
Jayanagar,Whitefield,UberSUV,4.96,109.52,Cash,2024-06-15,13:06:40
Hebbal,Electronic City,UberGo,3.3,89.6,UPI,2024-09-08,20:52:45
MG Road,Hebbal,UberX,35.36,474.32,UPI,2024-06-30,23:12:14
MG Road,Indiranagar,UberBlack,12.45,199.4,Cash,2024-02-17,09:26:24
Jayanagar,Whitefield,UberX,22.43,319.16,UPI,2024-05-22,09:51:28
Koramangala,Marathahalli,UberSUV,44.28,581.36,Cash,2024-11-07,07:15:50
MG Road,Whitefield,UberSUV,35.01,470.12,Wallet,2024-07-23,07:27:31
Jayanagar,Koramangala,UberX,24.84,348.08,Cash,2024-02-14,11:35:50
Hebbal,Koramangala,UberXL,2.36,78.32,UPI,2024-09-18,15:02:28
MG Road,Marathahalli,UberSUV,14.37,222.44,UPI,2024-05-05,19:31:14
Koramangala,Electronic City,UberX,5.74,118.88,UPI,2024-05-28,04:15:56
Hebbal,Whitefield,UberSUV,7.18,136.16,Cash,2024-03-25,10:19:24
Electronic City,Hebbal,UberX,47.12,615.44,Wallet,2024-04-16,11:45:29
Marathahalli,Indiranagar,UberGo,21.39,306.68,UPI,2024-12-17,11:26:12
Marathahalli,Hebbal,UberXL,3.78,95.36,Cash,2024-01-20,04:23:30
Jayanagar,Hebbal,UberBlack,24.27,341.24,Card,2024-05-02,18:15:22
Hebbal,Electronic City,UberXL,49.18,640.16,UPI,2024-08-10,12:48:13
Koramangala,Electronic City,UberX,11.62,189.44,Wallet,2024-07-16,07:27:52
Whitefield,Marathahalli,UberSUV,15.46,235.52,Cash,2024-04-13,13:56:55
Electronic City,Hebbal,UberSUV,44.53,584.36,Card,2024-10-19,21:05:15
Jayanagar,Whitefield,UberBlack,20.81,299.72,Cash,2024-08-18,00:34:22
Jayanagar,Electronic City,UberX,28.18,388.16,Wallet,2024-04-16,17:02:23
Marathahalli,MG Road,UberSUV,7.86,144.32,Card,2024-12-09,14:12:35
Marathahalli,Koramangala,UberGo,7.28,137.36,UPI,2024-12-03,03:01:10
Jayanagar,Hebbal,UberX,35.56,476.72,Cash,2024-05-02,06:08:51
Indiranagar,Electronic City,UberGo,26.98,373.76,Cash,2024-11-29,20:00:13
Marathahalli,Whitefield,UberXL,44.24,580.88,Wallet,2024-10-28,09:56:18
Whitefield,Indiranagar,UberX,6.86,132.32,Wallet,2024-01-06,23:39:20
Electronic City,MG Road,UberGo,35.29,473.48,Cash,2024-02-27,07:16:37
Marathahalli,MG Road,UberXL,22.77,323.24,Cash,2024-05-14,11:02:41
Indiranagar,Hebbal,UberX,19.87,288.44,UPI,2024-07-17,16:56:35
Hebbal,Electronic City,UberSUV,31.55,428.6,Cash,2024-12-26,03:12:33
MG Road,Marathahalli,UberX,34.08,458.96,Card,2024-09-21,20:18:12
Hebbal,Jayanagar,UberXL,2.61,81.32,Cash,2024-01-29,11:56:35
Marathahalli,Indiranagar,UberSUV,35.61,477.32,Wallet,2024-03-21,00:25:45
Electronic City,Koramangala,UberGo,31.78,431.36,Card,2024-09-25,10:16:22
Indiranagar,Whitefield,UberXL,19.92,289.04,Card,2024-08-30,01:47:03
Hebbal,MG Road,UberSUV,37.85,504.2,Cash,2024-12-07,17:53:58
Hebbal,Whitefield,UberBlack,18.17,268.04,Wallet,2024-08-11,00:25:52
Whitefield,Indiranagar,UberBlack,47.28,617.36,Cash,2024-04-05,19:50:35
Electronic City,Hebbal,UberBlack,17.41,258.92,Cash,2024-04-08,05:30:09
Whitefield,Electronic City,UberGo,9.26,161.12,Wallet,2024-03-22,09:24:58
Whitefield,MG Road,UberSUV,43.4,570.8,Cash,2024-12-29,22:09:46
Electronic City,Jayanagar,UberGo,9.42,163.04,Card,2024-09-13,03:16:53
Electronic City,Marathahalli,UberX,2.25,77,Wallet,2024-03-22,18:22:50
Marathahalli,Hebbal,UberX,13.34,210.08,UPI,2024-05-22,21:35:05
Indiranagar,Electronic City,UberSUV,20.86,300.32,Wallet,2024-11-07,14:43:44
Electronic City,Whitefield,UberGo,29.67,406.04,Wallet,2024-10-27,13:43:42
Jayanagar,Marathahalli,UberSUV,35.77,479.24,Card,2024-01-10,12:03:43
Whitefield,Marathahalli,UberBlack,13.65,213.8,Cash,2024-05-31,23:34:10
Indiranagar,Hebbal,UberSUV,49.92,649.04,UPI,2024-02-05,13:03:36
Marathahalli,Whitefield,UberGo,15.02,230.24,Cash,2024-03-16,22:13:27
MG Road,Hebbal,UberXL,11.03,182.36,Card,2024-05-19,15:27:13
Koramangala,Marathahalli,UberGo,13.44,211.28,Wallet,2024-12-15,21:53:51
Hebbal,MG Road,UberBlack,15.68,238.16,UPI,2024-04-21,11:03:12
MG Road,Indiranagar,UberBlack,38.16,507.92,Wallet,2024-08-06,12:49:04
MG Road,Hebbal,UberBlack,24.49,343.88,Wallet,2024-01-01,19:29:23
Jayanagar,Indiranagar,UberGo,10.63,177.56,Wallet,2024-05-28,10:44:34
Jayanagar,Hebbal,UberX,13.98,217.76,Cash,2024-04-02,19:35:32
Electronic City,Indiranagar,UberGo,49.76,647.12,Cash,2024-07-22,23:13:40
